Name,white_1,white_2,red_1,red_2
IR_1190,11,24,17,8
IR_1191,16,6,6,12
IR_1192,7,2,2,1
IR_1193,13,15,1,1
IR_1194,1,1,0,1
IR_1195,129,62,61,37
IR_1196,661,563,387,272
IR_1197,12,12,4,1
IR_1198,87,38,52,25
IR_1199,40,55,60,77
IR_1200,22,9,15,8
IR_1201,6,6,6,4
IR_1203,4,4,5,1
IR_1204,5,0,11,4
IR_1205,6,2,2,1
IR_1206,2,6,0,2
IR_1207,49,35,33,22
IR_1208,45,39,16,14
IR_1210,3,11,2,8
IR_1211,8,0,0,0
IR_1212,49,26,20,18
IR_1213,22,3,10,24
IR_1214,21,21,9,3
IR_1215,3,4,3,9
IR_1216,18,14,14,3
IR_1217,0,3,2,0
IR_1218,4,3,0,1
IR_1220,20,15,3,1
IR_1221,71,51,47,30
IR_1222,12,9,10,9
IR_1223,7,1,1,0
IR_1224,91,66,72,49
IR_1225,30,26,42,35
IR_1227,13,22,18,5
IR_1228,24,7,7,11
IR_1229,0,0,7,0
IR_1230,12,2,6,3
IR_1231,6,12,5,1
IR_1232,34,10,27,22
IR_1233,3,4,0,0
IR_1234,0,0,1,4
IR_1235,45,47,43,22
IR_1236,5,2,2,2
IR_1237,33,3,26,16
IR_1238,8,7,0,4
IR_1239,172,125,29,2
IR_1240,51,14,20,13
IR_1241,23,39,1,3
IR_1242,3,2,0,0
IR_1243,11,12,0,4
IR_1244,2,0,6,0
IR_1245,10,14,17,10
IR_1246,31,18,5,6
IR_1247,15,10,9,24
IR_1248,4,0,0,2
IR_1249,7,4,0,3
IR_1250,6,1,1,3
IR_1251,3,8,1,8
IR_1252,11,9,5,1
IR_1254,13,32,2,0
IR_1255,12,9,4,1
IR_1256,0,10,4,0
IR_1257,6,3,0,2
IR_1258,126,107,58,45
IR_1259,16,2,6,5
IR_1260,1,0,0,0
IR_1261,14,15,10,16
IR_1263,0,0,0,0
IR_1264,17,18,5,11
IR_1265,8,0,13,5
IR_1266,291,265,253,240
IR_1267,3,0,0,0
IR_1268,8,5,3,3
IR_1269,70,46,78,47
IR_1270,74,45,30,23
IR_1271,48,20,34,14
IR_1272,12,19,11,4
IR_1273,75,42,38,32
IR_1274,45,62,65,26
IR_1275,0,0,0,1
IR_1276,16,0,0,0
IR_1277,11,20,44,39
IR_1278,40,25,18,16
IR_1280,24,0,0,0
IR_1281,1,17,1,0
IR_1282,5,0,0,0
IR_1283,16,18,16,10
IR_1284,13,9,4,5
IR_1285,63,37,30,27
IR_1287,0,1,0,1
IR_1288,0,5,32,26
IR_1290,4,2,0,5
IR_1291,13,0,0,0
IR_1292,19,21,5,0
IR_1293,71,164,66,42
IR_1294,9,17,7,3
IR_1295,14,0,7,6
IR_1296,6,7,0,7
IR_1297,0,7,1,0
IR_1298,236,191,131,67
IR_1299,47,29,24,9
IR_1300,17,0,0,1
IR_1301,1,0,0,4
IR_1302,13,13,13,9
IR_1303,14,8,8,5
IR_1304,6,4,13,4
IR_1305,1,15,5,0
IR_1306,7,12,0,4
IR_1307,20,40,3,9
IR_1308,5,2,3,4
IR_1309,5,1,1,0
IR_1310,55,36,30,22
IR_1311,21,36,9,14
IR_1312,1,15,3,8
IR_1313,55,29,33,18
IR_1314,28,16,18,5
IR_1315,37,19,11,7
IR_1316,54,65,27,31
IR_1317,38,26,4,20
IR_1318,47,43,30,20
IR_1319,6,14,7,1
IR_1320,56,31,47,14
IR_1321,39,13,6,3
IR_1322,5,0,0,0
IR_1323,54,42,23,17
IR_1324,8,8,6,1
IR_1325,0,5,6,0
IR_1326,3,4,0,6
IR_1327,0,1,1,0
IR_1328,2,4,0,3
IR_1330,2,2,1,2
IR_1331,0,0,0,0
IR_1332,1,0,1,0
IR_1333,9,0,5,0
IR_1334,0,22,0,7
IR_1335,1,7,1,5
IR_1336,5,2,2,0
IR_1337,0,0,7,3
IR_1338,3,25,3,3
IR_1339,0,0,0,0
IR_1342,0,1,0,1
IR_1343,46,33,40,26
IR_1344,169,99,58,37
IR_1345,0,1,4,0
IR_1346,41,40,43,20
IR_1347,25,26,49,38
IR_1348,53,0,38,0
IR_1349,24,46,13,5
IR_1351,20,11,17,1
IR_1352,8,0,0,8
IR_1353,127,101,82,40
IR_1354,63,22,9,9
IR_1355,39,48,36,19
IR_1356,3,1,0,0
IR_1357,30,5,8,5
IR_1358,0,1,6,1
IR_1359,0,22,1,0
IR_1360,10,0,0,16
IR_1361,11,7,2,4
IR_1362,37,35,31,18
IR_1363,0,4,0,13
IR_1364,37,27,52,26
IR_1365,2,3,0,0
IR_1366,0,0,6,2
IR_1367,2,5,9,13
IR_1368,37,24,22,11
IR_1369,0,3,28,4
IR_1370,37,23,15,0
IR_1371,8,7,11,1
IR_1372,16,10,11,4
IR_1373,0,5,3,0
IR_1374,8,0,1,0
IR_1375,70,78,33,50
IR_1376,28,27,20,2
IR_1377,30,55,37,31
IR_1378,18,7,4,0
IR_1379,3,7,32,13
IR_1380,4,0,7,0
IR_1381,12,12,7,0
IR_1382,61,38,30,27
IR_1384,3,2,6,4
IR_1385,51,38,40,18
IR_1386,4,0,0,0
IR_1388,146,135,104,105
IR_1389,20,8,5,1
IR_1390,121,150,148,37
IR_1391,79,76,70,40
IR_1392,0,14,0,2
IR_1393,83,51,42,12
IR_1394,0,3,0,1
IR_1395,38,20,28,7
IR_1396,0,1,0,1
IR_1397,0,0,13,0
IR_1398,108,89,79,45
IR_1399,21,12,3,9
IR_1400,38,19,11,0
IR_1401,0,0,11,5
IR_1402,3,1,0,1
IR_1403,30,10,13,7
IR_1404,53,49,52,32
IR_1405,15,12,18,15
IR_1406,1,0,3,0
IR_1407,8,11,3,8
IR_1408,1,4,3,1
IR_1409,23,1,27,0
IR_1410,12,29,29,10
IR_1411,17,10,23,8
IR_1412,49,41,32,21
IR_1413,7,1,0,2
IR_1414,30,45,4,23
IR_1415,6,12,1,3
IR_1416,61,41,45,20
IR_1418,51,39,40,9
IR_1420,6,1,13,0
IR_1421,11,12,5,5
IR_1422,8,6,9,0
IR_1423,17,7,18,0
IR_1424,36,27,15,0
IR_1425,0,14,7,2
IR_1426,0,0,2,0
IR_1427,17,10,12,10
IR_1428,0,1,1,0
IR_1429,2,4,0,2
IR_1430,0,13,0,0
IR_1431,23,29,15,4
IR_1432,7,4,2,1
IR_1434,6,2,1,2
IR_1435,83,58,62,31
IR_1436,27,21,29,5
IR_1437,45,57,55,32
IR_1438,43,26,52,0
IR_1439,54,7,78,4
IR_1440,17,6,8,3
IR_1441,106,89,54,56
IR_1442,0,0,8,1
IR_1443,40,46,12,3
IR_1444,71,86,9,58
IR_1445,1,0,0,1
IR_1446,31,14,6,7
IR_1447,4,3,5,1
IR_1448,89,51,133,57
IR_1449,10,8,9,4
IR_1450,6,12,4,3
IR_1451,6,4,3,3
IR_1452,1,1,2,2
IR_1453,71,79,47,15
IR_1455,6,1,5,1
IR_1456,24,32,7,8
IR_1457,82,57,27,14
IR_1458,8,8,6,6
IR_1460,12,20,11,23
IR_1461,41,45,33,17
IR_1462,57,50,22,15
IR_1463,5,2,1,0
IR_1464,21,9,13,1
IR_1465,52,47,47,26
IR_1467,79,96,107,85
IR_1468,261,286,314,203
IR_1469,9,1,3,0
IR_1471,157,132,145,109
IR_1472,50,16,3,11
IR_1473,15,12,26,2
IR_1474,2,49,21,13
IR_1475,21,11,13,22
IR_1476,27,15,10,5
IR_1477,28,26,15,20
IR_1478,12,26,9,15
IR_1479,7,11,14,1
IR_1480,9,11,1,3
IR_1481,22,14,14,12
IR_1484,0,0,0,0
IR_1485,5,13,3,5
IR_1486,5,1,5,8
IR_1487,4,2,0,0
IR_1488,2,0,3,2
IR_1492,32,13,12,15
IR_1493,5,0,4,1
IR_1494,33,10,19,0
IR_1495,58,34,32,19
IR_1496,23,33,31,18
IR_1497,1,0,27,3
IR_1498,32,17,10,10
IR_1499,21,23,4,2
IR_1500,2,4,18,5
IR_1502,3,2,1,0
IR_1503,26,19,27,23
IR_1504,21,6,52,17
IR_1507,36,37,21,14
IR_1508,50,49,22,17
IR_1509,43,27,31,40
IR_1510,7,4,7,5
IR_1511,6,1,3,1
IR_1512,109,166,155,18
IR_1513,125,158,73,41
IR_1514,39,60,40,26
IR_1515,2,3,1,1
IR_1516,0,6,0,4
IR_1517,63,94,35,42
IR_1518,34,36,23,28
IR_1519,74,104,20,36
IR_1521,28,32,24,19
IR_1522,15,1,0,17
IR_1523,0,2,0,0
IR_1524,2,0,2,0
IR_1525,4,4,3,0
IR_1526,7,21,37,0
IR_1527,17,37,13,16
IR_1528,23,43,19,16
IR_1529,6,6,8,2
IR_1530,1,8,1,1
IR_1531,21,6,3,1
IR_1532,1,0,0,0
IR_1533,79,43,36,15
IR_1534,0,0,2,0
IR_1535,4,5,1,0
IR_1536,75,63,62,30
IR_1537,14,15,64,39
IR_1540,28,25,14,9
IR_1541,15,9,13,8
IR_1544,28,4,0,6
IR_1545,7,17,3,1
IR_1546,9,9,6,1
IR_1547,1,0,8,0
IR_1549,36,20,35,40
IR_1551,4,15,20,8
IR_1552,56,12,38,11
IR_1554,0,0,19,0
IR_1555,0,0,0,0
IR_1556,45,13,33,12
IR_1557,12,0,0,0
IR_1560,1,12,6,0
IR_1561,37,56,19,0
IR_1562,7,0,0,0
IR_1563,16,40,11,0
IR_1564,1,2,0,8
IR_1566,12,32,21,60
IR_1567,3,3,0,2
IR_1568,6,3,4,2
IR_1569,110,58,90,67
IR_1570,22,10,18,7
IR_1571,3,2,0,3
IR_1572,24,13,5,4
IR_1576,32,23,69,43
IR_1577,5,2,3,4
IR_1578,14,5,0,10
IR_1579,4,4,1,1
IR_1580,4,6,30,38
IR_1581,13,3,18,1
IR_1582,11,4,0,0
IR_1583,6,7,0,1
IR_1584,24,7,0,0
IR_1585,4,1,0,0
IR_1586,32,55,25,19
IR_1587,238,199,342,266
IR_1588,14,14,12,6
IR_1589,46,35,23,15
IR_1590,27,18,12,6
IR_1591,5,4,6,5
IR_1592,45,46,25,23
IR_1593,128,98,148,101
IR_1594,76,76,131,69
IR_1595,13,9,49,31
IR_1596,5,3,13,6
IR_1597,33,31,13,14
IR_1598,6,4,4,7
IR_1599,3,22,1,3
IR_1600,11,8,9,2
IR_1601,52,24,28,13
IR_1602,29,10,10,8
IR_1603,16,5,13,9
IR_1604,17,15,14,6
IR_1605,70,59,90,25
IR_1606,20,16,5,2
IR_1607,147,92,67,52
IR_1608,141,162,55,30
IR_1609,167,137,136,46
IR_1610,1,0,4,1
IR_1611,101,66,118,27
IR_1612,46,33,24,7
IR_1613,3,4,2,2
IR_1614,48,42,28,59
IR_1616,0,5,0,0
IR_1617,3,3,0,1
IR_1618,42,43,0,14
IR_1619,5,0,5,7
IR_1620,8,5,3,2
IR_1621,2,5,3,2
IR_1622,18,21,7,2
IR_1623,29,29,28,16
IR_1624,41,29,0,0
IR_1625,73,34,38,31
IR_1626,22,32,75,36
IR_1627,17,23,14,12
IR_1629,8,6,19,18
IR_1630,9,16,0,0
IR_1631,8,10,5,9
IR_1632,4,1,1,0
IR_1633,19,5,23,7
IR_1634,0,0,7,8
IR_1635,1,0,0,0
IR_1636,8,11,14,7
IR_1637,1,5,6,8
IR_1638,0,0,0,15
IR_1639,12,11,10,12
IR_1640,36,6,3,4
IR_1641,3,9,16,9
IR_1642,12,12,4,4
IR_1643,28,29,81,9
IR_1644,22,11,0,11
IR_1645,46,20,1,7
IR_1646,41,26,47,50
IR_1647,19,8,3,6
IR_1648,1,0,0,2
IR_1649,99,112,106,96
IR_1650,381,342,154,89
IR_1651,8,11,2,0
IR_1652,10,4,0,0
IR_1653,23,16,14,11
IR_1654,27,16,23,10
IR_1655,7,4,3,2
IR_1656,5,11,19,6
IR_1657,19,32,4,6
IR_1658,37,22,11,9
IR_1659,2,4,1,3
IR_1660,0,2,0,10
IR_1661,27,34,28,6
IR_1662,11,4,8,5
IR_1663,42,35,44,21
IR_1664,9,6,0,0
IR_1665,16,11,6,0
IR_1666,9,12,19,3
IR_1667,14,0,49,4
IR_1668,9,3,2,1
IR_1669,1,0,1,0
IR_1670,6,7,7,3
IR_1672,4,5,3,1
IR_1674,2,2,2,7
IR_1675,2,7,20,14
IR_1676,94,37,64,47
IR_1677,12,4,7,3
IR_1679,2,70,7,0
IR_1681,27,38,22,18
IR_1682,1,1,0,2
IR_1684,28,8,5,6
IR_1685,1,0,0,1
IR_1686,28,20,19,3
IR_1687,128,84,102,62
IR_1688,13,0,3,7
IR_1689,92,72,22,20
IR_1690,0,0,12,2
IR_1691,1,2,1,3
IR_1692,23,2,2,7
IR_1696,25,0,5,2
IR_1697,0,3,5,0
IR_1698,0,24,26,20
IR_1699,0,1,0,0
IR_1700,3,5,1,0
IR_1701,33,31,15,12
IR_1702,48,25,8,16
IR_1703,11,6,9,1
IR_1704,11,11,2,4
IR_1705,2,10,3,3
IR_1707,1,6,1,2
IR_1709,13,7,10,1
IR_1710,8,51,7,31
IR_1711,1,0,15,0
IR_1713,257,117,99,93
IR_1715,5,2,0,8
IR_1716,80,45,19,38
IR_1717,30,38,32,22
IR_1718,35,92,43,51
IR_1719,20,16,13,14
IR_1720,9,0,9,2
IR_1721,0,2,0,10
IR_1722,39,34,20,5
IR_1723,19,23,49,23
IR_1724,0,10,1,0
IR_1725,0,0,23,0
IR_1726,136,84,84,65
IR_1728,7,6,3,7
IR_1729,54,45,34,8
IR_1730,9,5,1,7
IR_1731,24,2,3,2
IR_1732,40,16,5,11
IR_1734,16,18,5,4
IR_1735,16,12,10,8
IR_1736,99,68,39,17
IR_1737,44,28,16,26
IR_1738,12,7,27,6
IR_1739,68,60,120,34
IR_1740,32,24,0,16
IR_1741,21,38,13,37
IR_1742,23,17,23,18
IR_1743,37,24,21,6
IR_1745,14,12,6,4
IR_1748,0,0,0,0
IR_1749,4,19,2,0
IR_1750,0,9,5,3
IR_1751,11,9,6,14
IR_1752,55,68,9,31
IR_1753,15,15,13,13
IR_1754,36,17,68,35
IR_1755,17,11,43,0
IR_1756,26,6,13,4
IR_1757,105,97,43,75
IR_1758,23,0,3,4
IR_1760,84,48,36,35
IR_1761,41,27,30,11
IR_1762,3,16,14,2
IR_1764,17,0,0,7
IR_1765,27,9,23,28
IR_1766,32,27,14,6
IR_1767,68,47,23,14
IR_1768,6,7,1,8
IR_1769,18,29,6,5
IR_1770,72,56,33,25
IR_1771,7,8,5,1
IR_1772,41,31,20,30
IR_1773,20,7,12,0
IR_1774,0,0,5,0
IR_1775,117,71,80,30
IR_1776,59,74,55,23
IR_1777,279,232,224,139
IR_1778,13,25,11,2
IR_1779,30,38,16,1
IR_1780,13,17,13,3
IR_1781,15,7,0,0
IR_1782,1,6,18,27
IR_1783,46,26,22,11
IR_1784,46,41,41,37
IR_1785,87,80,87,58
IR_1786,55,39,34,23
IR_1787,33,14,27,7
IR_1788,0,5,0,0
IR_1789,81,53,44,31
IR_1790,8,5,8,5
IR_1791,48,35,15,9
IR_1792,3,3,1,0
IR_1793,62,50,28,11
IR_1794,70,82,47,30
IR_1795,4,19,6,3
IR_1796,34,0,0,0
IR_1797,13,10,3,3
IR_1798,11,25,21,10
IR_1799,84,59,37,17
IR_1800,216,118,98,44
IR_1801,68,73,78,47
IR_1802,39,36,31,8
IR_1804,2,8,36,2
IR_1806,0,2,3,5
IR_1808,52,38,45,23
IR_1809,6,0,4,2
IR_1810,6,4,7,1
IR_1811,8,4,7,3
IR_1812,1,6,0,3
IR_1813,29,11,10,6
IR_1814,9,5,0,16
IR_1815,134,112,39,34
IR_1816,134,100,109,37
IR_1817,36,15,14,10
IR_1818,0,27,2,0
IR_1819,24,14,6,0
IR_1820,12,25,3,7
IR_1821,34,20,23,10
IR_1822,298,7,82,94
IR_1823,23,12,13,6
IR_1824,17,19,20,12
IR_1825,35,41,26,21
IR_1826,86,48,30,28
IR_1827,35,8,1,2
IR_1828,5,15,3,6
IR_1829,22,10,0,9
IR_1830,74,65,44,27
IR_1831,136,120,55,50
IR_1832,14,10,19,11
IR_1833,4,0,4,0
IR_1834,5,1,0,1
IR_1835,8,1,23,32
IR_1836,4,3,8,2
IR_1837,2,5,1,1
IR_1838,1,1,0,0
IR_1839,6,0,3,3
IR_1840,12,1,7,1
IR_1842,0,0,1,1
IR_1843,62,59,43,24
IR_1844,4,2,1,0
IR_1845,28,56,65,69
IR_1846,108,83,116,74
IR_1847,5,1,10,3
IR_1849,24,14,24,27
IR_1850,1,0,0,1
IR_1851,3,3,1,2
IR_1853,298,192,85,65
IR_1854,25,29,11,30
IR_1855,4,3,1,0
IR_1856,9,4,8,0
IR_1857,0,2,0,0
IR_1859,10,10,10,5
IR_1860,10,10,15,9
IR_1861,15,10,10,7
IR_1862,1,0,0,2
IR_1863,0,0,0,3
IR_1864,1,5,0,0
IR_1865,83,67,42,33
IR_1866,33,51,27,15
IR_1867,164,112,114,58
IR_1868,1,0,3,5
IR_1869,20,34,28,0
IR_1870,0,3,35,3
IR_1871,0,0,6,0
IR_1872,11,14,7,11
IR_1874,2,5,6,12
IR_1875,41,26,9,5
IR_1876,0,0,0,0
IR_1877,22,0,0,5
IR_1878,9,4,10,5
IR_1879,3,1,0,0
IR_1880,20,27,7,12
IR_1881,5,0,1,0
IR_1883,21,4,1,10
IR_1885,38,24,32,17
IR_1886,28,12,7,4
IR_1887,10,2,0,1
IR_1888,19,5,17,13
IR_1889,1,0,0,0
IR_1890,37,38,12,9
IR_1891,36,2,3,12
IR_1892,13,4,3,2
IR_1893,29,20,21,17
IR_1894,1,11,0,0
IR_1896,99,40,72,39
IR_1897,7,5,13,2
IR_1898,12,15,4,5
IR_1899,16,1,45,18
IR_1900,3,5,1,0
IR_1901,209,182,70,66
IR_1902,21,31,10,7
IR_1903,3,2,0,0
IR_1904,31,8,4,9
IR_1905,4,0,4,0
IR_1906,61,48,65,21
IR_1907,81,63,57,43
IR_1908,27,46,0,3
IR_1909,14,8,19,4
IR_1910,55,40,29,19
IR_1911,31,13,4,6
IR_1912,38,24,21,11
IR_1913,13,14,9,0
IR_1914,21,17,6,5
IR_1915,4,6,2,3
IR_1916,24,17,10,0
IR_1918,31,13,13,0
IR_1919,65,48,21,46
IR_1921,62,35,50,23
IR_1922,12,16,16,7
IR_1923,16,25,41,1
IR_1924,18,16,16,2
IR_1926,15,12,6,3
IR_1927,96,76,58,42
IR_1929,57,39,92,30
IR_1930,14,6,7,4
IR_1931,15,17,24,15
IR_1932,84,205,56,55
IR_1933,104,89,79,80
IR_1934,15,14,19,22
IR_1935,40,32,26,4
IR_1936,34,38,18,11
IR_1937,33,32,20,3
IR_1938,5,2,7,0
IR_1939,60,57,36,29
IR_1940,28,14,17,7
IR_1941,34,21,10,2
IR_1942,24,25,3,6
IR_1943,34,37,15,10
IR_1944,17,36,17,28
IR_1947,3,0,3,7
IR_1948,265,182,204,113
IR_1949,153,121,205,172
IR_1950,11,11,22,13
IR_1951,0,1,2,1
IR_1952,12,14,1,8
IR_1953,0,0,0,0
IR_1954,67,27,21,26
IR_1955,6,5,0,2
IR_1956,16,15,0,0
IR_1957,3,2,4,0
IR_1958,83,35,138,55
IR_1959,106,72,52,35
IR_1960,26,11,49,21
IR_1961,12,3,6,1
IR_1962,1,9,0,0
IR_1963,12,7,6,0
IR_1964,24,0,37,11
IR_1965,10,3,13,4
IR_1967,19,6,4,5
IR_1968,17,7,6,3
IR_1969,7,9,6,1
IR_1970,2,3,2,2
IR_1971,31,17,6,4
IR_1972,16,4,16,2
IR_1973,9,14,10,0
IR_1974,24,9,2,4
IR_1976,1,0,1,2
IR_1978,26,0,3,0
IR_1979,0,0,0,0
IR_1981,73,0,0,0
IR_1982,213,136,48,155
IR_1984,0,2,24,31
IR_1985,0,2,0,1
IR_1986,23,12,30,1
IR_1987,39,18,8,3
IR_1988,0,0,7,1
IR_1989,0,0,2,0
IR_1992,15,13,12,1
IR_1993,0,1,10,1
IR_1994,7,10,10,0
IR_1995,0,5,6,0
IR_1996,4,0,5,1
IR_1998,24,16,8,6
IR_1999,1,2,12,5
IR_2000,10,6,0,9
IR_2002,54,12,59,13
IR_2003,1,1,6,4
IR_2004,14,15,16,13
IR_2005,50,19,20,17
IR_2006,0,0,0,10
IR_2007,6,1,1,1
IR_2008,7,5,10,6
IR_2009,26,18,23,18
IR_2010,31,22,14,10
IR_2011,8,16,13,21
IR_2012,19,14,3,9
IR_2013,37,45,20,11
IR_2014,150,91,172,92
IR_2015,10,3,3,3
IR_2016,50,50,10,13
IR_2017,2,2,0,0
IR_2018,33,61,47,22
IR_2019,16,32,2,0
IR_2020,4,3,8,0
IR_2021,3,12,0,0
IR_2022,11,12,14,0
IR_2024,29,23,2,0
IR_2025,40,28,16,8
IR_2026,15,12,12,6
IR_2027,2,11,6,6
IR_2028,0,0,14,11
IR_2029,133,83,103,51
IR_2031,98,96,61,31
IR_2032,3,20,4,11
IR_2033,13,15,19,27
IR_2034,64,31,33,10
IR_2035,7,9,11,4
IR_2036,69,61,58,28
IR_2037,0,2,1,0
IR_2039,29,23,19,19
IR_2040,35,25,28,2
IR_2041,0,0,11,22
IR_2042,5,0,0,0
IR_2043,0,1,0,3
IR_2045,1,5,0,2
IR_2047,820,588,407,325
IR_2048,41,28,5,0
IR_2049,17,8,34,6
IR_2050,24,16,19,8
IR_2051,3,7,1,6
IR_2052,22,23,23,19
IR_2053,47,0,1,1
IR_2054,6,6,2,2
IR_2055,5,1,1,4
IR_2056,51,40,16,18
IR_2057,7,6,4,15
IR_2058,33,0,20,0
IR_2059,20,9,2,6
IR_2061,0,0,0,0
IR_2062,59,52,65,41
IR_2063,78,92,22,32
IR_2064,1,1,2,5
IR_2065,82,104,108,43
IR_2066,11,3,0,0
IR_2067,0,2,6,2
IR_2068,3,29,11,2
IR_2069,51,21,3,6
IR_2070,20,19,9,12
IR_2071,107,64,62,19
IR_2072,246,174,163,79
IR_2073,0,4,10,5
IR_2074,57,62,52,38
IR_2075,48,23,13,5
IR_2076,139,101,52,26
IR_2077,129,99,56,40
IR_2078,21,11,28,18
IR_2079,21,19,15,6
IR_2081,79,35,45,55
IR_2082,10,0,2,3
IR_2083,2,1,1,1
IR_2084,311,291,213,161
IR_2085,276,196,190,98
IR_2086,71,38,25,16
IR_2087,31,6,6,1
IR_2088,16,16,14,9
IR_2089,2,1,1,0
IR_2090,15,16,30,21
IR_2091,9,1,0,0
IR_2092,33,0,0,19
IR_2094,15,14,20,5
IR_2095,30,18,32,20
IR_2096,1,1,4,0
IR_2098,28,29,12,12
IR_2099,8,9,22,4
IR_2100,10,3,2,0
IR_2101,101,107,91,59
IR_2103,40,40,49,34
IR_2104,131,65,51,83
IR_2105,19,16,1,9
IR_2106,11,5,2,9
IR_2107,21,12,45,14
IR_2109,19,12,17,24
IR_2110,12,6,2,4
IR_2111,24,17,31,16
IR_2112,15,24,25,4
IR_2113,9,0,11,0
IR_2114,21,16,14,6
IR_2115,99,79,53,17
IR_2116,10,5,4,11
IR_2117,9,26,14,11
IR_2118,17,5,4,10
IR_2119,8,2,9,1
IR_2120,27,13,15,12
IR_2121,130,95,128,70
IR_2122,25,35,20,6
IR_2123,42,24,24,2
IR_2124,15,9,20,15
IR_2125,27,17,38,23
IR_2126,41,26,33,5
IR_2127,56,77,40,34
IR_2128,65,54,58,17
IR_2129,6,20,6,0
IR_2130,3,5,3,3
IR_2131,32,15,1,22
IR_2132,41,19,26,1
IR_2133,73,28,34,1
IR_2134,40,22,11,0
IR_2135,0,0,0,10
IR_2136,10,14,9,21
IR_2137,4,4,2,10
IR_2138,1,0,1,0
IR_2139,0,1,0,1
IR_2140,27,72,54,60
IR_2141,2,1,4,3
IR_2142,16,61,31,40
IR_2143,27,13,30,29
IR_2144,0,2,0,9
IR_2145,16,18,12,34
IR_2146,0,6,2,2
IR_2147,1,31,2,0
IR_2148,16,11,22,4
IR_2150,1,0,0,1
IR_2152,0,2,0,3
IR_2153,0,2,3,14
IR_2155,192,154,88,51
IR_2156,79,7,25,15
IR_2157,0,1,2,11
IR_2158,50,37,36,21
IR_2159,72,60,18,14
IR_2160,53,43,20,2
IR_2161,3,28,0,0
IR_2162,30,47,23,12
IR_2164,17,5,0,2
IR_2165,118,89,58,42
IR_2166,1845,1909,1273,1004
IR_2167,918,614,325,207
IR_2168,418,285,197,145
IR_2169,33,17,17,14
IR_2170,1,4,6,0
IR_2171,1177,948,528,328
IR_2172,1119,905,718,446
IR_2173,46,17,12,17
IR_2174,38,19,28,9
IR_2176,6,6,4,0
IR_2177,139,133,44,51
IR_2179,119,87,13,29
IR_2180,77,69,90,23
IR_2181,21,6,26,15
IR_2182,16,12,12,1
IR_2183,3,3,0,2
IR_2184,48,60,18,0
IR_2185,90,64,26,34
IR_2186,19,14,9,7
IR_2187,43,32,48,36
IR_2188,0,1,2,1
IR_2189,3,7,5,4
IR_2190,8,6,1,2
IR_2191,73,32,33,35
IR_2193,19,8,14,8
IR_2194,39,10,11,20
IR_2195,149,147,123,143
IR_2196,174,184,159,156
IR_2197,82,40,24,13
IR_2198,75,87,54,12
IR_2199,69,36,52,12
IR_2200,11,8,2,7
IR_2201,0,0,0,0
IR_2202,2,3,0,0
IR_2203,2,1,19,6
IR_2204,21,24,19,1
IR_2205,10,7,23,16
IR_2206,57,29,29,26
IR_2207,79,52,69,40
IR_2208,101,102,76,47
IR_2209,2,0,3,5
IR_2210,0,2,6,5
IR_2211,30,33,16,31
IR_2212,23,20,0,15
IR_2213,18,50,14,15
IR_2215,16,20,14,4
IR_2216,10,7,5,6
IR_2217,14,17,9,5
IR_2218,444,325,280,142
IR_2219,224,62,54,49
IR_2220,21,17,23,15
IR_2221,9,5,8,2
IR_2222,34,28,42,25
IR_2223,116,86,56,37
IR_2224,28,12,22,11
IR_2225,43,44,24,9
IR_2226,22,11,11,2
IR_2227,3,6,3,1
IR_2228,3,7,2,0
IR_2229,45,0,0,3
IR_2230,0,0,0,0
IR_2232,33,11,9,7
IR_2233,10,11,0,4
IR_2234,27,1,20,0
IR_2235,73,48,62,27
IR_2236,47,25,4,15
IR_2237,35,0,29,13
IR_2238,9,6,4,0
IR_2239,12,36,0,14
IR_2241,19,19,14,13
IR_2242,133,92,85,38
IR_2243,68,41,29,22
IR_2244,403,327,496,238
IR_2245,9,0,1,16
IR_2246,0,2,22,0
IR_2247,14,23,14,17
IR_2248,5,5,9,10
IR_2250,2,0,0,0
IR_2251,39,61,1,1
IR_2252,32,34,37,28
IR_2253,110,57,29,22
IR_2254,22,8,10,8
IR_2255,16,14,1,0
IR_2256,36,32,63,51
IR_2257,48,11,24,14
IR_2259,47,27,32,17
IR_2260,12,3,2,1
IR_2261,57,39,25,12
IR_2262,16,5,10,3
IR_2263,11,18,7,1
IR_2264,22,19,26,15
IR_2265,42,34,21,1
IR_2266,2,0,3,2
IR_2267,26,15,12,6
IR_2268,3,1,1,0
IR_2269,18,23,0,11
IR_2270,13,6,0,1
IR_2271,4,6,2,0
IR_2272,2,1,2,2
IR_2274,8,0,1,0
IR_2275,0,8,0,0
IR_2277,6,11,2,0
IR_2278,0,1,4,8
IR_2279,7,10,10,5
IR_2281,29,31,22,10
IR_2282,0,2,3,0
IR_2284,0,0,0,0
IR_2285,32,31,33,12
IR_2286,58,26,22,39
IR_2287,1,2,2,1
IR_2289,0,2,3,0
IR_2290,6,3,4,0
IR_2291,1,2,0,1
IR_2293,1,9,0,7
IR_2294,139,68,130,71
IR_2295,1,10,5,0
IR_2296,50,35,33,8
IR_2297,10,8,19,3
IR_2298,13,6,2,11
IR_2299,3,3,2,2
IR_2300,50,49,76,34
IR_2301,31,15,28,8
IR_2302,105,88,87,42
IR_2303,61,49,22,20
IR_2304,60,56,42,34
IR_2305,118,105,145,82
IR_2307,86,64,102,59
IR_2308,3,8,1,1
