Name,white_1,white_2,red_1,red_2
IR_246,25,12,7,5
IR_247,47,45,37,35
IR_248,162,110,141,54
IR_249,101,135,120,83
IR_250,9,19,3,20
IR_251,23,8,8,7
IR_253,16,6,1,0
IR_254,19,18,10,5
IR_255,6,8,3,4
IR_256,3,8,13,5
IR_257,7,19,18,0
IR_258,165,194,249,190
IR_259,72,50,57,38
IR_260,0,0,0,0
IR_261,5,13,10,17
IR_263,6,4,2,5
IR_264,30,0,5,2
IR_265,11,22,9,7
IR_266,1,4,2,0
IR_267,15,21,13,15
IR_268,0,1,0,0
IR_269,9,6,1,1
IR_270,101,66,61,28
IR_271,149,186,109,86
IR_272,145,133,84,18
IR_273,0,5,0,5
IR_274,17,11,25,24
IR_275,624,654,355,245
IR_276,73,52,56,23
IR_278,4,4,0,3
IR_280,15,35,4,2
IR_282,11,18,9,12
IR_283,16,5,6,7
IR_284,33,61,340,278
IR_285,7,7,4,8
IR_286,22,0,0,9
IR_287,26,36,44,29
IR_288,16,5,19,12
IR_289,82,49,37,0
IR_290,20,13,10,10
IR_291,12,3,0,5
IR_292,34,6,4,0
IR_293,18,13,32,23
IR_294,43,26,16,14
IR_295,15,13,41,0
IR_296,115,96,80,86
IR_297,0,0,5,0
IR_298,33,27,19,25
IR_299,54,26,37,8
IR_300,32,48,25,17
IR_301,20,8,11,4
IR_303,48,19,41,1
IR_304,0,0,0,11
IR_306,74,38,58,20
IR_307,6,7,7,4
IR_308,93,52,47,27
IR_309,0,0,1,1
IR_310,22,16,11,1
IR_311,234,160,146,57
IR_312,0,1,0,0
IR_313,0,0,0,0
IR_314,49,40,43,17
IR_315,25,15,16,11
IR_316,3,11,3,0
IR_317,89,32,30,23
IR_318,91,30,35,36
IR_319,1,17,12,4
IR_320,3040,2679,1905,1253
IR_321,74,65,65,34
IR_322,6,3,1,14
IR_323,19,21,8,11
IR_324,11,14,5,12
IR_325,14,10,18,4
IR_326,13,12,15,14
IR_327,12,3,5,1
IR_328,10,4,11,7
IR_329,4,1,11,0
IR_330,18,15,2,11
IR_331,41,24,39,9
IR_332,2,4,6,0
IR_333,92,63,57,21
IR_334,49,29,26,32
IR_335,4,3,1,8
IR_336,4,10,15,10
IR_337,20,33,32,17
IR_338,48,50,32,16
IR_339,47,19,12,32
IR_340,22,18,11,11
IR_341,15,0,10,8
IR_342,13,0,17,6
IR_343,61,41,29,21
IR_345,10,0,6,0
IR_346,6,9,0,10
IR_347,19,8,2,2
IR_348,148,128,101,68
IR_349,34,64,53,24
