"","white_1","white_2","red_1","red_2"
"IR_1",12.6168949118125,19.1052635606463,15.1645461560896,7.69966937160703
"IR_2",5.31237680497367,5.21052642563081,4.04387897495722,0
"IR_3",41.8349673391677,26.0526321281541,21.2303646185254,20.0191403661783
"IR_4",59.1001919553321,54.7105274691236,77.8446702679265,87.7762308363201
"IR_5",37.1866376348157,46.0263167597389,56.6143056494011,50.8178178526064
"IR_6",4.64832970435196,5.21052642563081,4.04387897495722,13.8594048688926
"IR_7",5.97642390559538,13.026316064077,3.03290923121791,24.6389419891425
"IR_8",36.522590534194,45.1578956888004,49.5375174432259,52.3577517269278
"IR_9",0,19.9736846315848,30.3290923121791,3.07986774864281
"IR_10",22.5776014211381,54.7105274691236,38.4168502620936,41.5782146066779
"IR_11",155.38702154548,200.605267386786,97.0530953989733,149.373585809176
"IR_12",67.0687571627926,58.1842117528774,62.6801241118369,133.974247065962
"IR_14",14.6090362136776,19.9736846315848,1.0109697437393,46.1980162296422
"IR_15",19.2573659180296,22.5789478444002,17.1864856435682,0
"IR_16",9.29665940870393,19.1052635606463,11.1206671811324,3.07986774864281
"IR_17",1.99214130186513,8.68421070938469,13.142606668611,6.15973549728562
"IR_18",145.426315036154,99.0000020869855,134.458975917328,226.370279525247
"IR_19",4.64832970435196,7.81578963844622,7.07678820617513,1.53993387432141
"IR_20",16.6011775155427,31.2631585537849,20.2193948747861,0
"IR_21",34.5304492323289,36.4736849794157,49.5375174432259,23.0990081148211
"IR_25",1.99214130186513,5.21052642563081,2.02193948747861,1.53993387432141
"IR_27",5.31237680497367,1.73684214187694,25.2742435934826,23.0990081148211
"IR_28",45.1552028422762,52.9736853272466,33.3620015433971,36.9584129837137
"IR_30",38.5147318360591,49.5000010434927,32.3510317996578,24.6389419891425
"IR_32",204.526506991486,218.842109876494,174.8977656669,192.491734290176
"IR_33",4.64832970435196,5.21052642563081,0,0
"IR_35",4.64832970435196,5.21052642563081,2.02193948747861,3.07986774864281
"IR_36",104.255394797608,207.552635954294,125.360248223674,73.9168259674275
"IR_38",3.32023550310855,4.34210535469235,2.02193948747861,7.69966937160703
"IR_39",9.29665940870393,6.07894749656928,5.05484871869652,1.53993387432141
"IR_40",2.65618840248684,0.868421070938469,4.04387897495722,9.23960324592843
"IR_41",3.98428260373026,2.60526321281541,3.03290923121791,3.07986774864281
"IR_42",1.99214130186513,0,6.06581846243583,1.53993387432141
"IR_43",5.97642390559538,8.68421070938469,7.07678820617513,6.15973549728562
"IR_44",55.1159093516019,46.8947378306773,50.5484871869652,30.7986774864281
"IR_45",14.6090362136776,7.81578963844622,31.3400620559185,36.9584129837137
"IR_46",47.8113912447631,79.0263174554007,380.124623645979,284.88776674946
"IR_47",20.585460119273,17.3684214187694,21.2303646185254,60.0574210985348
"IR_48",63.7485216596841,40.8157903341081,101.09697437393,46.1980162296422
"IR_50",72.3811339677663,57.315790681939,47.5155779557473,26.1788758634639
"IR_51",34.5304492323289,39.9473692631696,14.1535764123503,23.0990081148211
"IR_52",37.1866376348157,50.3684221144312,45.4936384682687,53.8976856012492
"IR_53",347.960680725776,359.526323368526,454.936384682687,568.235599624599
"IR_54",148.082503438641,140.684213492032,133.448006173588,130.894379317319
"IR_55",84.9980288795788,114.631581363878,114.239581042541,92.3960324592843
"IR_56",27.8899782261118,35.6052639084772,45.4936384682687,46.1980162296422
"IR_57",115.544195508177,105.947370654493,91.9982466802768,86.2362969619987
"IR_58",46.4832970435196,86.8421070938469,48.5265476994866,52.3577517269278
"IR_59",5.31237680497367,0.868421070938469,3.03290923121791,1.53993387432141
"IR_60",35.8585434335723,29.526316411908,22.2413343622647,44.6580823553208
"IR_61",146.754409237398,105.947370654493,112.217641555063,61.5973549728562
"IR_62",4.64832970435196,16.5000003478309,17.1864856435682,12.3194709945712
"IR_64",202.534365689621,204.947372741479,221.402373878908,244.849486017103
"IR_66",2.65618840248684,1.73684214187694,4.04387897495722,3.07986774864281
"IR_67",11.2888007105691,31.2631585537849,18.1974553873075,27.7188097377853
"IR_68",11.9528478111908,20.8421057025233,3.03290923121791,13.8594048688926
"IR_69",21.2495072198947,13.026316064077,23.252304106004,9.23960324592843
"IR_70",55.7799564522236,83.368422810093,36.394910774615,64.677222721499
"IR_71",42.4990144397894,46.8947378306773,51.5594569307045,27.7188097377853
"IR_72",14.6090362136776,6.94736856750775,7.07678820617513,4.61980162296422
"IR_75",3.98428260373026,6.07894749656928,5.05484871869652,7.69966937160703
"IR_76",33.8664021317072,33.0000006956618,30.3290923121791,21.5590742404997
"IR_77",21.2495072198947,11.2894739222001,12.1316369248717,7.69966937160703
"IR_78",8.63261230808222,19.1052635606463,12.1316369248717,4.61980162296422
"IR_79",47.8113912447631,39.0789481922311,32.3510317996578,0
"IR_80",16.6011775155427,21.7105267734617,15.1645461560896,16.9392726175355
"IR_81",77.69351077274,74.6842121007084,70.7678820617514,33.8785452350709
"IR_82",13.9449891130559,19.9736846315848,19.2084251310468,13.8594048688926
"IR_83",27.2259311254901,7.81578963844622,30.3290923121791,23.0990081148211
"IR_85",16.6011775155427,19.9736846315848,2.02193948747861,12.3194709945712
"IR_87",24.5697427230032,37.3421060503542,2.02193948747861,12.3194709945712
"IR_89",4.64832970435196,12.1578949931386,4.04387897495722,3.07986774864281
"IR_91",5.31237680497367,3.47368428375388,4.04387897495722,3.07986774864281
"IR_92",12.6168949118125,2.60526321281541,3.03290923121791,0
"IR_93",45.8192499428979,57.315790681939,34.3729712871364,13.8594048688926
